train_number,line_direction_cid,direction_chinese,station_id,station_name,car_number_cn1,car_number_cn2,car1_congestion,car2_congestion,car3_congestion,car4_congestion,update_time,timestamp
"137,200",2,上行,BR12,中山國中,137,200,1,1,2,2,2025-07-14 21:56:00,2025-07-14 21:56:00
"111,142",1,下行,BR05,辛亥,111,142,1,1,1,1,2025-07-14 21:55:49,2025-07-14 21:55:49
"183,118",2,上行,BR05,辛亥,183,118,1,1,1,1,2025-07-14 21:55:42,2025-07-14 21:55:42
"157,112",1,下行,BR19,內湖,157,112,1,1,1,1,2025-07-14 21:55:36,2025-07-14 21:55:36
"129,198",1,下行,BR22,東湖,129,198,1,1,1,1,2025-07-14 21:55:18,2025-07-14 21:55:18
"133,166",2,上行,BR15,劍南路,133,166,3,1,2,1,2025-07-14 21:55:17,2025-07-14 21:55:17
"187,188",2,上行,BR09,BR 大安,187,188,1,1,1,1,2025-07-14 21:55:07,2025-07-14 21:55:07
"101,114",1,下行,BR16,西湖,101,114,1,1,1,1,2025-07-14 21:54:50,2025-07-14 21:54:50
"135,201",2,上行,BR20,大湖公園,135,201,1,1,1,1,2025-07-14 21:54:50,2025-07-14 21:54:50
"137,200",2,上行,BR11,BR 南京復興,137,200,1,1,2,2,2025-07-14 21:54:22,2025-07-14 21:54:22
"199,128",2,上行,BR24,BR 南港展覽館,199,128,1,1,1,1,2025-07-14 21:54:11,2025-07-14 21:54:11
"157,112",1,下行,BR20,大湖公園,157,112,1,1,1,1,2025-07-14 21:53:54,2025-07-14 21:53:54
"127,120",1,下行,BR14,大直,127,120,1,1,1,1,2025-07-14 21:53:39,2025-07-14 21:53:39
"183,118",2,上行,BR04,萬芳醫院,183,118,1,1,1,1,2025-07-14 21:53:32,2025-07-14 21:53:32
"129,198",1,下行,BR23,南港軟體園區,129,198,1,2,1,1,2025-07-14 21:53:26,2025-07-14 21:53:26
"133,166",2,上行,BR14,大直,133,166,3,1,2,1,2025-07-14 21:53:26,2025-07-14 21:53:26
"101,114",1,下行,BR17,港漧,101,114,1,1,1,1,2025-07-14 21:53:21,2025-07-14 21:53:21
"111,142",1,下行,BR06,麟光,111,142,1,1,1,1,2025-07-14 21:53:21,2025-07-14 21:53:21
"137,200",2,上行,BR14,大直,137,200,3,2,2,1,2025-07-14 22:02:07,2025-07-14 22:02:07
"127,120",1,下行,BR11,BR 南京復興,127,120,2,1,1,2,2025-07-14 22:01:41,2025-07-14 22:01:41
"111,142",1,下行,BR02,木柵,111,142,1,1,1,1,2025-07-14 22:01:37,2025-07-14 22:01:37
"103,194",1,下行,BR09,BR 大安,103,194,3,3,2,3,2025-07-14 22:01:24,2025-07-14 22:01:24
"191,126",2,上行,BR10,BR 忠孝復興,191,126,2,1,1,1,2025-07-14 22:01:20,2025-07-14 22:01:20
"129,198",1,下行,BR19,內湖,129,198,1,1,1,1,2025-07-14 22:01:05,2025-07-14 22:01:05
"135,201",2,上行,BR23,南港軟體園區,135,201,1,1,1,1,2025-07-14 22:00:38,2025-07-14 22:00:38
"113,104",1,下行,BR22,東湖,113,104,1,2,1,1,2025-07-14 22:00:34,2025-07-14 22:00:34
"157,112",1,下行,BR16,西湖,157,112,1,1,1,1,2025-07-14 22:00:20,2025-07-14 22:00:20
"111,142",1,下行,BR03,萬芳社區,111,142,1,1,1,1,2025-07-14 22:00:08,2025-07-14 22:00:08
"127,120",1,下行,BR12,中山國中,127,120,2,1,2,3,2025-07-14 21:59:54,2025-07-14 21:59:54
"183,118",2,上行,BR07,六張犁,183,118,1,1,1,1,2025-07-14 21:59:35,2025-07-14 21:59:35
"129,198",1,下行,BR20,大湖公園,129,198,1,1,1,1,2025-07-14 21:59:28,2025-07-14 21:59:28
"191,126",2,上行,BR09,BR 大安,191,126,1,1,1,1,2025-07-14 21:59:27,2025-07-14 21:59:27
"101,114",1,下行,BR14,大直,101,114,2,2,2,2,2025-07-14 21:59:16,2025-07-14 21:59:16
"133,166",2,上行,BR17,港漧,133,166,2,1,1,1,2025-07-14 21:59:13,2025-07-14 21:59:13
"135,201",2,上行,BR22,東湖,135,201,1,1,1,1,2025-07-14 21:58:58,2025-07-14 21:58:58
"157,112",1,下行,BR17,港漧,157,112,1,1,1,1,2025-07-14 21:58:55,2025-07-14 21:58:55
"137,200",2,上行,BR13,松山機場,137,200,2,1,2,2,2025-07-14 21:58:43,2025-07-14 21:58:43
"113,104",1,下行,BR23,南港軟體園區,113,104,2,2,1,1,2025-07-14 21:58:43,2025-07-14 21:58:43
"191,126",2,上行,BR13,松山機場,191,126,2,2,2,2,2025-07-14 22:07:23,2025-07-14 22:07:23
"101,114",1,下行,BR11,BR 南京復興,101,114,3,2,2,2,2025-07-14 22:07:06,2025-07-14 22:07:06
"127,120",1,下行,BR08,科技大樓,127,120,2,2,1,1,2025-07-14 22:07:06,2025-07-14 22:07:06
"103,194",1,下行,BR06,麟光,103,194,2,2,2,2,2025-07-14 22:07:02,2025-07-14 22:07:02
